seed_dir,run_dir,method,n_agents,min_at_lever,weights,ablation,n_rows,expected,status,nan_inf,n_agents_found,final_mean_env,final_reward_env_stdev,final_fairness_var,final_fairness_sigma,final_energy_var,final_mean_winrate,converged,suspicious_reason,path
nano_er5,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,43.75,53.85004642523533,2899.8275,53.85004642523533,3044.6682089999995,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er5/er_lio_4_2/log.csv
nano_er6,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,43.9,54.30460385639509,2948.9900000000002,54.30460385639509,2976.757227000001,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er6/er_lio_4_2/log.csv
nano_er7,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,44.45,54.45555527216668,2965.4075,54.45555527216668,2751.0398250000003,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er7/er_lio_4_2/log.csv
nano_er8,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,43.65,53.95004633918306,2910.6074999999996,53.95004633918306,3036.8247690000007,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er8/er_lio_4_2/log.csv
nano_er9,er_lio_4_2,lio,4,2,,,50,50,OK,False,4,41.6,52.600760450776754,2766.84,52.600760450776754,4655.947756,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er9/er_lio_4_2/log.csv
nano_er1,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,-8.333333333333334,3.726779962499649,13.888888888888886,3.726779962499649,56068.103555555565,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er1/er_lio_6_4/log.csv
nano_er10,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,-1.7333333333333334,3.875851160999636,15.022222222222226,3.875851160999636,11775.804499999998,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er10/er_lio_6_4/log.csv
nano_er2,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,-5.0,5.0,25.0,5.0,35376.51472222223,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er2/er_lio_6_4/log.csv
nano_er3,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,-10.066666666666666,0.14907119849998612,0.022222222222222265,0.14907119849998612,62033.733166666665,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er3/er_lio_6_4/log.csv
nano_er4,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,-5.0,5.0,25.0,5.0,23669.8225,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er4/er_lio_6_4/log.csv
nano_er5,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,26.46666666666667,51.57165457453887,2659.635555555556,51.57165457453887,2769.6649208888903,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er5/er_lio_6_4/log.csv
nano_er6,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,-6.7,4.738143096192854,22.45,4.738143096192854,46637.81888888889,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er6/er_lio_6_4/log.csv
nano_er7,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,-3.3333333333333335,4.714045207910316,22.222222222222218,4.714045207910316,23789.86805555556,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er7/er_lio_6_4/log.csv
nano_er8,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,26.233333333333334,51.45398159736739,2647.512222222222,51.45398159736739,3043.605190222221,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er8/er_lio_6_4/log.csv
nano_er9,er_lio_6_4,lio,6,4,,,50,50,OK,False,6,-5.0,5.0,25.0,5.0,23669.8225,0.0,True,,/home/yifan/greedy_agent/lio/results/nano_er9/er_lio_6_4/log.csv
nano_er1,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er1/er_refine_3_1/log.csv
nano_er10,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er10/er_refine_3_1/log.csv
nano_er2,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er2/er_refine_3_1/log.csv
nano_er3,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er3/er_refine_3_1/log.csv
nano_er4,er_refine_3_1,refine,3,1,,,0,50,MISSING,False,0,,,,,,,False,missing file,/home/yifan/greedy_agent/lio/results/nano_er4/er_refine_3_1/log.csv
